game_id,matchup,date,name,usage %,minutes,jokic_playing
0022500496,DEN @ BKN,2026-01-04,Aaron Gordon,44.37,21,False
0022500787,DEN vs. MEM,2026-02-11,Nikola Jokić,41.62,34,True
0022501225,DEN vs. HOU,2025-12-15,Nikola Jokić,41.3,42,True
0022500386,DEN vs. HOU,2025-12-20,Nikola Jokić,41.26,29,True
0022500224,DEN @ LAC,2025-11-12,Nikola Jokić,40.8,34,True
0022500340,DEN @ ATL,2025-12-05,Nikola Jokić,40.23,36,True
0022500450,DEN @ MIA,2025-12-29,Nikola Jokić,39.93,19,True
0022500008,DEN @ MIN,2025-10-27,Jamal Murray,39.33,37,True
0022500274,DEN vs. SAC,2025-11-22,Nikola Jokić,38.93,37,True
0022500537,DEN vs. ATL,2026-01-09,Peyton Watson,38.15,34,False
0022500695,DEN vs. LAC,2026-01-30,Nikola Jokić,37.75,25,True
0022500600,DEN vs. WAS,2026-01-17,Jamal Murray,37.36,39,False
0022500726,DEN @ NYK,2026-02-04,Jamal Murray,37.13,48,True
0022500260,DEN @ NOP,2025-11-19,Nikola Jokić,36.97,34,True
0022500212,DEN @ SAC,2025-11-11,Jonas Valančiūnas,36.66,15,True
0022500248,DEN vs. CHI,2025-11-17,Nikola Jokić,36.37,39,True
0022500325,DEN @ IND,2025-12-03,Jamal Murray,36.0,36,True
0022500359,DEN @ CHA,2025-12-07,Jamal Murray,35.74,35,True
0022500575,DEN @ DAL,2026-01-14,Jamal Murray,35.72,38,False
0022500478,DEN @ CLE,2026-01-02,Jamal Murray,35.5,39,False
0022500640,DEN @ MIL,2026-01-23,Aaron Gordon,35.3,16,False
0022500433,DEN @ ORL,2025-12-27,Nikola Jokić,34.93,38,True
0022500013,DEN vs. MIN,2025-12-25,Jamal Murray,34.7,43,True
0022500189,DEN vs. IND,2025-11-08,Nikola Jokić,34.5,32,True
0022500054,DEN @ HOU,2025-11-21,Nikola Jokić,34.17,39,True
0022500013,DEN vs. MIN,2025-12-25,Nikola Jokić,33.58,43,True
0022500315,DEN vs. DAL,2025-12-01,Nikola Jokić,33.25,37,True
0022500716,DEN @ DET,2026-02-03,Nikola Jokić,32.91,33,True
0022500496,DEN @ BKN,2026-01-04,Jamal Murray,32.46,40,False
0022500415,DEN @ DAL,2025-12-23,Nikola Jokić,32.31,36,True
0022500567,DEN @ NOP,2026-01-13,Jamal Murray,32.05,37,False
0022500726,DEN @ NYK,2026-02-04,Nikola Jokić,31.9,45,True
0022500684,DEN vs. BKN,2026-01-29,Jamal Murray,31.74,33,False
0022500617,DEN vs. LAL,2026-01-20,Jamal Murray,31.7,36,False
0022500405,DEN vs. UTA,2025-12-22,Jonas Valančiūnas,31.54,16,True
0022500787,DEN vs. MEM,2026-02-11,Jamal Murray,31.36,33,True
0022500415,DEN @ DAL,2025-12-23,Jamal Murray,31.15,37,True
0022500695,DEN vs. LAC,2026-01-30,Jonas Valančiūnas,31.01,21,True
0022500299,DEN @ PHX,2025-11-29,Jamal Murray,30.9,37,True
0022500405,DEN vs. UTA,2025-12-22,Jamal Murray,30.9,27,True
0022500377,DEN vs. ORL,2025-12-18,Jamal Murray,30.81,36,True
0022500212,DEN @ SAC,2025-11-11,Nikola Jokić,30.74,33,True
0022500629,DEN @ WAS,2026-01-22,Jonas Valančiūnas,30.54,22,False
0022500006,DEN @ GSW,2025-10-23,Aaron Gordon,30.52,39,True
0022500325,DEN @ IND,2025-12-03,Nikola Jokić,30.46,35,True
0022500232,DEN @ MIN,2025-11-15,Jamal Murray,30.45,39,True
0022500006,DEN @ GSW,2025-10-23,Nikola Jokić,30.3,41,True
0022501208,DEN @ SAC,2025-12-11,Nikola Jokić,30.25,29,True
0022500752,DEN @ CHI,2026-02-07,Jamal Murray,30.11,31,True
0022500287,DEN @ MEM,2025-11-24,Peyton Watson,30.1,33,True
0022500668,DEN vs. DET,2026-01-27,Jamal Murray,30.0,39,False
0022501225,DEN vs. HOU,2025-12-15,Jamal Murray,29.94,43,True
0022500767,DEN vs. CLE,2026-02-09,Nikola Jokić,29.86,33,True
0022500640,DEN @ MIL,2026-01-23,Tim Hardaway Jr.,29.84,26,False
0022500640,DEN @ MIL,2026-01-23,Julian Strawther,29.41,26,False
0022500767,DEN vs. CLE,2026-02-09,Jonas Valančiūnas,29.35,15,True
0022500629,DEN @ WAS,2026-01-22,Jamal Murray,29.34,36,False
0022500134,DEN vs. NOP,2025-10-29,Jamal Murray,29.33,25,True
0022500468,DEN @ TOR,2025-12-31,Peyton Watson,29.32,36,False
0022500386,DEN vs. HOU,2025-12-20,Jonas Valančiūnas,29.29,16,True
0022500377,DEN vs. ORL,2025-12-18,Nikola Jokić,29.19,38,True
0022500695,DEN vs. LAC,2026-01-30,Peyton Watson,28.9,35,True
0022501208,DEN @ SAC,2025-12-11,Peyton Watson,28.84,23,True
0022500260,DEN @ NOP,2025-11-19,Peyton Watson,28.81,34,True
0022500450,DEN @ MIA,2025-12-29,Jamal Murray,28.78,35,True
0022500248,DEN vs. CHI,2025-11-17,Jamal Murray,28.53,38,True
0022500359,DEN @ CHA,2025-12-07,Nikola Jokić,28.48,35,True
0022500232,DEN @ MIN,2025-11-15,Nikola Jokić,28.47,37,True
0022500684,DEN vs. BKN,2026-01-29,Tim Hardaway Jr.,28.42,27,False
0022500162,DEN vs. SAC,2025-11-03,Nikola Jokić,28.19,36,True
0022500496,DEN @ BKN,2026-01-04,Peyton Watson,28.15,29,False
0022500605,DEN vs. CHA,2026-01-18,Jamal Murray,28.08,25,False
0022500433,DEN @ ORL,2025-12-27,Jamal Murray,28.0,37,True
0022500076,DEN vs. SAS,2025-11-28,Jamal Murray,27.94,36,True
0022500520,DEN @ BOS,2026-01-07,Peyton Watson,27.94,37,False
0022500554,DEN vs. MIL,2026-01-11,Aaron Gordon,27.93,32,False
0022500468,DEN @ TOR,2025-12-31,Jamal Murray,27.78,38,False
0022500006,DEN @ GSW,2025-10-23,Jamal Murray,27.72,40,True
0022500600,DEN vs. WAS,2026-01-17,Tim Hardaway Jr.,27.63,36,False
0022500478,DEN @ CLE,2026-01-02,Peyton Watson,27.6,40,False
0022500605,DEN vs. CHA,2026-01-18,Peyton Watson,27.48,29,False
0022500037,DEN vs. GSW,2025-11-07,Aaron Gordon,27.36,24,True
0022500668,DEN vs. DET,2026-01-27,Peyton Watson,27.34,37,False
0022500037,DEN vs. GSW,2025-11-07,Nikola Jokić,27.27,28,True
0022500507,DEN @ PHI,2026-01-05,Jalen Pickett,27.25,42,False
0022500224,DEN @ LAC,2025-11-12,Jamal Murray,27.24,33,True
0022500520,DEN @ BOS,2026-01-07,Jamal Murray,27.0,37,False
0022500711,DEN vs. OKC,2026-02-01,Peyton Watson,26.75,38,True
0022500767,DEN vs. CLE,2026-02-09,Julian Strawther,26.74,29,True
0022500287,DEN @ MEM,2025-11-24,Jamal Murray,26.7,37,True
0022500134,DEN vs. NOP,2025-10-29,Nikola Jokić,26.57,28,True
0022500162,DEN vs. SAC,2025-11-03,Jamal Murray,26.5,32,True
0022500037,DEN vs. GSW,2025-11-07,Jonas Valančiūnas,26.49,16,True
0022500054,DEN @ HOU,2025-11-21,Jonas Valančiūnas,26.39,16,True
0022500104,DEN vs. PHX,2025-10-25,Jamal Murray,26.39,32,True
0022500537,DEN vs. ATL,2026-01-09,Aaron Gordon,26.36,25,False
0022500716,DEN @ DET,2026-02-03,Jamal Murray,26.34,37,True
0022500554,DEN vs. MIL,2026-01-11,Peyton Watson,26.27,39,False
0022500567,DEN @ NOP,2026-01-13,Aaron Gordon,26.19,30,False
0022500178,DEN vs. MIA,2025-11-05,Aaron Gordon,26.02,31,True
0022500711,DEN vs. OKC,2026-02-01,Nikola Jokić,25.82,29,True
0022500684,DEN vs. BKN,2026-01-29,Peyton Watson,25.78,34,False
0022500567,DEN @ NOP,2026-01-13,Peyton Watson,25.72,39,False
0022500248,DEN vs. CHI,2025-11-17,Aaron Gordon,25.55,32,True
0022500299,DEN @ PHX,2025-11-29,Nikola Jokić,25.54,31,True
0022500752,DEN @ CHI,2026-02-07,Tim Hardaway Jr.,25.42,29,True
0022500178,DEN vs. MIA,2025-11-05,Nikola Jokić,25.39,36,True
0022500507,DEN @ PHI,2026-01-05,Peyton Watson,25.36,44,False
0022500684,DEN vs. BKN,2026-01-29,Jonas Valančiūnas,25.36,25,False
0022500617,DEN vs. LAL,2026-01-20,Peyton Watson,25.28,38,False
0022501208,DEN @ SAC,2025-12-11,Jamal Murray,25.19,26,True
0022500600,DEN vs. WAS,2026-01-17,Peyton Watson,24.99,35,False
0022500054,DEN @ HOU,2025-11-21,Jamal Murray,24.9,41,True
0022500640,DEN @ MIL,2026-01-23,Bruce Brown,24.71,26,False
0022500507,DEN @ PHI,2026-01-05,Julian Strawther,24.67,15,False
0022500507,DEN @ PHI,2026-01-05,Hunter Tyson,24.49,19,False
0022500037,DEN vs. GSW,2025-11-07,Jamal Murray,24.45,31,True
0022500299,DEN @ PHX,2025-11-29,Tim Hardaway Jr.,24.38,27,True
0022500629,DEN @ WAS,2026-01-22,Peyton Watson,24.36,40,False
0022500575,DEN @ DAL,2026-01-14,Peyton Watson,24.29,31,False
0022500605,DEN vs. CHA,2026-01-18,Zeke Nnaji,24.19,23,False
0022500520,DEN @ BOS,2026-01-07,Aaron Gordon,23.95,23,False
0022500711,DEN vs. OKC,2026-02-01,Jamal Murray,23.94,35,True
0022500026,DEN @ POR,2025-10-31,Jamal Murray,23.81,34,True
0022500605,DEN vs. CHA,2026-01-18,Hunter Tyson,23.79,21,False
0022500212,DEN @ SAC,2025-11-11,Jamal Murray,23.75,37,True
0022500359,DEN @ CHA,2025-12-07,Peyton Watson,23.69,30,True
0022500189,DEN vs. IND,2025-11-08,Tim Hardaway Jr.,23.6,24,True
0022500340,DEN @ ATL,2025-12-05,Jamal Murray,23.48,38,True
0022500617,DEN vs. LAL,2026-01-20,Tim Hardaway Jr.,23.36,31,False
0022500299,DEN @ PHX,2025-11-29,Jonas Valančiūnas,23.32,15,True
0022500212,DEN @ SAC,2025-11-11,Aaron Gordon,23.32,30,True
0022500752,DEN @ CHI,2026-02-07,Julian Strawther,23.11,33,True
0022500274,DEN vs. SAC,2025-11-22,Jamal Murray,22.99,37,True
0022500752,DEN @ CHI,2026-02-07,Nikola Jokić,22.8,33,True
0022500629,DEN @ WAS,2026-01-22,Tim Hardaway Jr.,22.76,20,False
0022500629,DEN @ WAS,2026-01-22,Bruce Brown,22.76,18,False
0022500026,DEN @ POR,2025-10-31,Tim Hardaway Jr.,22.73,22,True
0022500668,DEN vs. DET,2026-01-27,Bruce Brown,22.72,23,False
0022500134,DEN vs. NOP,2025-10-29,Christian Braun,22.69,27,True
0022500405,DEN vs. UTA,2025-12-22,Tim Hardaway Jr.,22.63,25,True
0022500450,DEN @ MIA,2025-12-29,Tim Hardaway Jr.,22.4,28,True
0022500668,DEN vs. DET,2026-01-27,Jonas Valančiūnas,22.36,31,False
0022500026,DEN @ POR,2025-10-31,Peyton Watson,22.36,23,True
0022500260,DEN @ NOP,2025-11-19,Jamal Murray,22.28,36,True
0022501208,DEN @ SAC,2025-12-11,Jonas Valančiūnas,22.23,19,True
0022500104,DEN vs. PHX,2025-10-25,Aaron Gordon,22.2,25,True
0022500478,DEN @ CLE,2026-01-02,Tim Hardaway Jr.,22.19,28,False
0022500037,DEN vs. GSW,2025-11-07,Christian Braun,22.19,32,True
0022500520,DEN @ BOS,2026-01-07,Zeke Nnaji,22.18,25,False
0022500386,DEN vs. HOU,2025-12-20,Jamal Murray,22.11,34,True
0022500726,DEN @ NYK,2026-02-04,Julian Strawther,22.08,17,True
0022500767,DEN vs. CLE,2026-02-09,Jamal Murray,22.06,36,True
0022500340,DEN @ ATL,2025-12-05,Tim Hardaway Jr.,22.01,27,True
0022500575,DEN @ DAL,2026-01-14,Aaron Gordon,22.0,30,False
0022500507,DEN @ PHI,2026-01-05,Zeke Nnaji,21.99,32,False
0022500026,DEN @ POR,2025-10-31,Aaron Gordon,21.76,32,True
0022500695,DEN vs. LAC,2026-01-30,Tim Hardaway Jr.,21.7,25,True
0022500189,DEN vs. IND,2025-11-08,Peyton Watson,21.64,27,True
0022500640,DEN @ MIL,2026-01-23,Jalen Pickett,21.62,34,False
0022500468,DEN @ TOR,2025-12-31,Tim Hardaway Jr.,21.34,30,False
0022500716,DEN @ DET,2026-02-03,Peyton Watson,21.26,38,True
0022500537,DEN vs. ATL,2026-01-09,Zeke Nnaji,21.26,21,False
0022500232,DEN @ MIN,2025-11-15,Aaron Gordon,21.2,36,True
0022500496,DEN @ BKN,2026-01-04,Tim Hardaway Jr.,21.19,34,False
0022500178,DEN vs. MIA,2025-11-05,Jamal Murray,21.05,34,True
0022501208,DEN @ SAC,2025-12-11,Cameron Johnson,21.05,32,True
0022500605,DEN vs. CHA,2026-01-18,Julian Strawther,21.04,20,False
0022500076,DEN vs. SAS,2025-11-28,Cameron Johnson,20.98,38,True
0022500468,DEN @ TOR,2025-12-31,Jonas Valančiūnas,20.92,23,False
0022500189,DEN vs. IND,2025-11-08,Julian Strawther,20.82,22,True
0022500162,DEN vs. SAC,2025-11-03,Bruce Brown,20.75,23,True
0022500248,DEN vs. CHI,2025-11-17,Tim Hardaway Jr.,20.69,16,True
0022500224,DEN @ LAC,2025-11-12,Aaron Gordon,20.62,31,True
0022500162,DEN vs. SAC,2025-11-03,Aaron Gordon,20.36,30,True
0022500076,DEN vs. SAS,2025-11-28,Tim Hardaway Jr.,20.34,28,True
0022500716,DEN @ DET,2026-02-03,Julian Strawther,20.29,23,True
0022500178,DEN vs. MIA,2025-11-05,Tim Hardaway Jr.,20.19,24,True
0022500726,DEN @ NYK,2026-02-04,Peyton Watson,20.05,33,True
0022500415,DEN @ DAL,2025-12-23,Tim Hardaway Jr.,20.05,29,True
0022500433,DEN @ ORL,2025-12-27,Tim Hardaway Jr.,19.98,33,True
0022500315,DEN vs. DAL,2025-12-01,Bruce Brown,19.97,20,True
0022500260,DEN @ NOP,2025-11-19,Jonas Valančiūnas,19.95,16,True
0022500054,DEN @ HOU,2025-11-21,Bruce Brown,19.84,21,True
0022500575,DEN @ DAL,2026-01-14,Jalen Pickett,19.7,27,False
0022500767,DEN vs. CLE,2026-02-09,Christian Braun,19.68,32,True
0022500605,DEN vs. CHA,2026-01-18,Bruce Brown,19.67,18,False
0022500340,DEN @ ATL,2025-12-05,Cameron Johnson,19.66,35,True
0022500629,DEN @ WAS,2026-01-22,Aaron Gordon,19.59,33,False
0022500076,DEN vs. SAS,2025-11-28,Nikola Jokić,19.52,36,True
0022500537,DEN vs. ATL,2026-01-09,Hunter Tyson,19.51,27,False
0022500554,DEN vs. MIL,2026-01-11,Zeke Nnaji,19.51,28,False
0022500554,DEN vs. MIL,2026-01-11,Tim Hardaway Jr.,19.45,35,False
0022500433,DEN @ ORL,2025-12-27,Julian Strawther,19.39,17,True
0022500315,DEN vs. DAL,2025-12-01,Jamal Murray,19.33,26,True
0022500026,DEN @ POR,2025-10-31,Nikola Jokić,19.2,37,True
0022500299,DEN @ PHX,2025-11-29,Spencer Jones,19.16,27,True
0022500008,DEN @ MIN,2025-10-27,Nikola Jokić,19.07,36,True
0022500104,DEN vs. PHX,2025-10-25,Christian Braun,19.05,31,True
0022500076,DEN vs. SAS,2025-11-28,Spencer Jones,18.97,23,True
0022500104,DEN vs. PHX,2025-10-25,Cameron Johnson,18.94,25,True
0022501208,DEN @ SAC,2025-12-11,Tim Hardaway Jr.,18.81,25,True
0022500617,DEN vs. LAL,2026-01-20,Aaron Gordon,18.79,32,False
0022500162,DEN vs. SAC,2025-11-03,Christian Braun,18.79,31,True
0022500104,DEN vs. PHX,2025-10-25,Nikola Jokić,18.76,32,True
0022500076,DEN vs. SAS,2025-11-28,Bruce Brown,18.74,19,True
0022500695,DEN vs. LAC,2026-01-30,Jamal Murray,18.68,36,True
0022500640,DEN @ MIL,2026-01-23,Zeke Nnaji,18.62,37,False
0022500405,DEN vs. UTA,2025-12-22,Spencer Jones,18.61,20,True
0022500450,DEN @ MIA,2025-12-29,Bruce Brown,18.53,26,True
0022500315,DEN vs. DAL,2025-12-01,Spencer Jones,18.31,39,True
0022500537,DEN vs. ATL,2026-01-09,Tim Hardaway Jr.,18.2,26,False
0022500567,DEN @ NOP,2026-01-13,Tim Hardaway Jr.,18.11,33,False
